request,rtt_ms,db_latency_ms,non_db_delay_ms
1,3.63,0.1,3.53
2,3.76,0.16,3.6
3,4.09,0.15,3.94
4,2.7,0.12,2.58
5,3.69,0.31,3.38
6,4.83,0.2,4.63
7,4.48,0.16,4.32
8,5.42,0.23,5.19
9,5.02,0.21,4.81
10,7.64,0.47,7.17
11,3.96,0.15,3.81
12,6.15,0.22,5.93
13,6.03,0.28,5.75
14,6.43,0.29,6.14
15,5.52,0.22,5.3
16,5.93,0.15,5.78
17,3.02,0.14,2.88
18,4.68,0.22,4.46
19,5.84,0.31,5.53
20,4.38,0.17,4.21
21,4.68,0.2,4.48
22,4.47,0.16,4.31
23,4.56,0.17,4.39
24,6.46,0.23,6.23
25,8.08,0.27,7.81
26,5.54,0.2,5.34
27,10.74,0.5,10.24
28,5.11,0.19,4.92
29,5.98,0.22,5.76
30,5.82,0.18,5.64
31,5.95,0.35,5.6
32,3.98,0.18,3.8
33,4.45,0.26,4.19
34,2.93,0.11,2.82
35,5.42,0.18,5.24
36,4.6,0.24,4.36
37,3.64,0.14,3.5
38,3.5,0.16,3.34
39,6.5,0.39,6.11
40,6.01,0.43,5.58
41,8.01,0.34,7.67
42,7.93,0.37,7.56
43,7.17,0.68,6.49
44,3.55,0.26,3.29
45,5.96,0.29,5.67
46,3.98,0.12,3.86
47,3.89,0.16,3.73
48,4.86,0.22,4.64
49,7.88,0.34,7.54
50,4.81,0.13,4.68
51,3.84,0.19,3.65
52,6.2,0.36,5.84
53,4.68,0.17,4.51
54,4.42,0.14,4.28
55,5.92,0.18,5.74
56,4.1,0.18,3.92
57,4.43,0.15,4.28
58,7.19,0.35,6.84
59,7.63,0.57,7.06
60,6.57,0.27,6.3
61,10.38,0.48,9.9
62,11.59,0.87,10.72
63,5.74,0.36,5.38
64,5.54,0.34,5.2
65,8.65,0.33,8.32
66,6.75,0.33,6.42
67,6.53,0.43,6.1
68,8.89,0.17,8.72
69,11.25,0.2,11.05
70,10.38,1.99,8.39
71,16.23,2.12,14.11
72,16.23,0.38,15.85
73,12.15,0.19,11.96
74,11.77,0.21,11.56
75,3.46,0.18,3.28
76,3.77,0.13,3.64
77,4.73,0.26,4.47
78,4.6,0.26,4.34
79,5.03,0.29,4.74
80,5.58,0.34,5.24
81,8.4,0.21,8.19
82,6.89,0.24,6.65
83,6.36,0.2,6.16
84,4.59,0.17,4.42
85,3.66,0.12,3.54
86,5.96,0.21,5.75
87,6.31,0.25,6.06
88,5.27,0.24,5.03
89,4.68,0.25,4.43
90,4.83,0.26,4.57
91,4.49,0.17,4.32
92,7.6,0.41,7.19
93,8.18,0.32,7.86
94,5.8,0.22,5.58
95,4.44,0.21,4.23
96,4.73,0.28,4.45
97,5.48,0.21,5.27
98,5.86,0.16,5.7
99,5.85,0.2,5.65
100,5.47,0.23,5.24
101,4.82,0.16,4.66
102,4.81,0.18,4.63
103,4.16,0.13,4.03
104,4.55,0.17,4.38
105,10.42,0.32,10.1
106,4.45,0.18,4.27
107,5.76,0.28,5.48
108,6.66,0.2,6.46
109,3.6,0.13,3.47
110,6.36,0.21,6.15
111,8.72,0.2,8.52
112,3.56,0.12,3.44
113,5.33,0.17,5.16
114,4.22,0.17,4.05
115,3.56,0.15,3.41
116,3.55,0.16,3.39
117,4.49,0.24,4.25
118,9.09,0.36,8.73
119,5.15,0.19,4.96
120,6.87,0.41,6.46
121,5.68,0.26,5.42
122,6.29,0.18,6.11
123,7.53,0.35,7.18
124,6.87,0.33,6.54
125,6.23,0.23,6.0
